Cafe Name|Location|Open|Close|Coffee|Wifi|Power
Lighthaus|https://goo.gl/maps/2EvhB4oq4gyUXKXx9|11AM| 3:30PM|☕☕☕☕️|💪💪|🔌🔌🔌
Esters|https://goo.gl/maps/13Tjc36HuPWLELaSA|8AM|3PM|☕☕☕☕|💪💪💪|🔌
Ginger & White|https://goo.gl/maps/DqMx2g5LiAqv3pJQ9|7:30AM|5:30PM|☕☕☕|✘|🔌
Mare Street Market|https://goo.gl/maps/ALR8iBiNN6tVfuAA8|8AM|1PM|☕☕|💪💪💪|🔌🔌🔌
shubham's cafe|https://www.google.com/maps/place/Central+Prabhu+Restaurant+%26+Bar/@19.2211555|7 am|6 pm|☕️☕️☕️☕️|💪💪💪💪|🔌🔌🔌🔌🔌
shubham's cafe|https://www.google.com/maps/place/Central+Prabhu+Restaurant+%26+Bar|7 am|6 pm|☕️☕️☕️|💪💪💪💪|🔌🔌
cafe delight|https://www.google.com/maps/place/Chettinad+Tiffun+-Powai|6 AM|8 PM|☕️☕️☕️|💪💪💪|🔌🔌🔌🔌
cafe delight|https://www.google.com/maps/place/Chettinad+Tiffun+-Powai|6 AM|6 pm|☕️☕️|💪💪💪💪💪|🔌🔌🔌
abcd |https://www.google.com/maps/place/Chettinad+Tiffun+-Powai/@19.1205252,72.8922952,16z/data=!4m9!1m3!2m2!1sRestaurants!6e5!3m4!1s0x3be7c92d47735c6d:0x7e148e253a568336!8m2!3d19.1205252!4d72.8981022|4 AM|6 AM|☕️☕️☕️☕️|💪💪💪💪|🔌🔌🔌🔌
shubham's cafe|https://www.google.com/maps/place/Chettinad+Tiffun+-Powai/@19.1205252,72.8922952,16z/data=!4m9!1m3!2m2!1sRestaurants!6e5!3m4!1s0x3be7c92d47735c6d:0x7e148e253a568336!8m2!3d19.1205252!4d72.8981022|7 am|6 pm|☕️☕️☕️|💪💪💪💪|🔌🔌🔌🔌
