HINDI,ENGLISH
जैसा,as
मैं,I
उसके,his
कि,that
वह,he
था,was
के लिए,for
पर,on
हैं,are
साथ,with
वे,they
हो,be
पर,at
एक,one
है,have
इस,this
से,from
द्वारा,by
गरम,hot
शब्द,word
लेकिन,but
क्या,what
कुछ,some
है,is
यह,it
आप,you
या,or
था,had
,the
की,of
तक,to
और,and
एक,a
में,in
हम,we
कर सकते हैं,can
बाहर,out
अन्य,other
थे,were
जो,which
कर,do
उनके,their
समय,time
अगर,if
होगा,will
कैसे,how
कहा,said
एक,an
प्रत्येक,each
बता,tell
करता है,does
सेट,set
तीन,three
चाहते हैं,want
हवा,air
अच्छी तरह से,well
भी,also
खेलने,play
छोटे,small
अंत,end
डाल,put
घर,home
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
का पालन करें,follow
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
तस्वीर,picture
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
पृथ्वी,earth
पिता,father
किसी भी,any
नई,new
काम,work
हिस्सा,part
लेना,take
प्राप्त,get
जगह,place
निर्मित,made
जीना,live
जहां,where
