Unnamed: 0,HINDI,ENGLISH
0,जैसा,as
1,मैं,I
2,उसके,his
3,कि,that
4,वह,he
5,था,was
6,के लिए,for
7,पर,on
8,हैं,are
9,साथ,with
12,एक,one
15,से,from
17,गरम,hot
18,शब्द,word
19,लेकिन,but
20,क्या,what
21,कुछ,some
22,है,is
27,,the
29,तक,to
30,और,and
31,एक,a
32,हम,we
34,बाहर,out
35,अन्य,other
36,थे,were
38,कर,do
40,समय,time
42,कैसे,how
43,एक,an
44,प्रत्येक,each
45,बता,tell
46,करता है,does
47,तीन,three
48,चाहते हैं,want
49,हवा,air
50,अच्छी तरह से,well
52,छोटे,small
54,डाल,put
55,घर,home
58,बड़ा,large
59,जादू,spell
60,जोड़,add
61,यहाँ,here
62,चाहिए,must
63,उच्च,high
65,का पालन करें,follow
66,अधिनियम,act
68,पुरुषों,men
69,परिवर्तन,change
71,प्रकाश,light
72,तरह,kind
73,बंद,off
74,आवश्यकता,need
75,घर,house
77,कोशिश,try
78,हमें,us
79,फिर,again
81,मां,mother
82,दुनिया,world
83,निकट,near
85,आत्म,self
87,किसी भी,any
91,लेना,take
92,प्राप्त,get
95,जहां,where
